CODE,COUNTRY,POPULATION,TOTAL_CASES,TOTAL_DEATH_COUNT,GDP_FY2020
TLS,Timor,14.09196129,212,0,8790284636
TGO,Togo,15.92920098,230,4,7265298945
TTO,Trinidad and Tobago,14.15161916,221,5,10266847590
TUN,Tunisia,16.28518664,226,6,9291855564
TUR,Turkey,18.25035574,220,9,10131791410
TCA,Turks and Caicos Islands,10.56405989,209,2,0
UGA,Uganda,17.63850561,212,5,7437033796
UKR,Ukraine,17.59363088,225,9,8973908040
ARE,United Arab Emirates,16.10707515,294,6,11116818680
GBR,United Kingdom,18.03334044,294,11,10590446730
USA,United States,19.61763693,294,12,10900905560
VIR,United States Virgin Islands,11.55620524,210,3,0
URY,Uruguay,15.06073864,219,4,9930684782
UZB,Uzbekistan,17.32613614,218,6,8740833259
VAT,Vatican,6.695798917,222,0,0
VEN,Venezuela,17.1631645,219,7,9725856299
VNM,Vietnam,18.39370601,294,4,8727759419
YEM,Yemen,17.21088998,193,6,7299220849
ZMB,Zambia,16.72698889,215,6,8213178735
ZWE,Zimbabwe,16.51438055,213,5,7549490737
